!File created by NanoVNA
# Hz S RI R 50
 315531062  0.122581280 -0.851224448
 317515030  0.113860480 -0.849903040
 319498998  0.104721640 -0.850276352
 321482966  0.096282456 -0.848674944
 323466934  0.087093696 -0.848263296
 325450902  0.078417016 -0.847324608
 327434870  0.069430840 -0.846143040
 329418838  0.059588696 -0.844098624
 331402806  0.050964804 -0.843664576
 333386774  0.041729688 -0.842190592
 335370741  0.031933930 -0.839615936
 337354709  0.023144996 -0.839122688
 339338677  0.013427232 -0.836411712
 341322645  0.005115760 -0.834956352
 343306613 -0.003990735 -0.831675392
 345290581 -0.013765824 -0.829099072
 347274549 -0.022070446 -0.827158528
 349258517 -0.030153168 -0.824413248
 351242485 -0.038745328 -0.821925952
 353226453 -0.047918780 -0.819171200
 355210421 -0.056887576 -0.815849984
 357194389 -0.065409436 -0.813638464
 359178357 -0.073530472 -0.811197632
 361162325 -0.081370008 -0.808151616
 363146293 -0.090115576 -0.805584896
 365130261 -0.098589528 -0.803056320
 367114228 -0.106960024 -0.799980672
 369098196 -0.115948048 -0.796727744
 371082164 -0.124432024 -0.792898112
 373066132 -0.133231360 -0.790372352
 375050100 -0.141315728 -0.786436032
 377034068 -0.149918336 -0.783186048
 379018036 -0.158834192 -0.779480960
 381002004 -0.167655568 -0.775986048
 382985972 -0.176397072 -0.772494464
 384969940 -0.185018656 -0.768465600
 386953908 -0.194054896 -0.764973248
 388937876 -0.202801776 -0.760066816
 390921844 -0.213022304 -0.755062144
 392905812 -0.221178496 -0.750829056
 394889780 -0.230347664 -0.746209536
 396873747 -0.239228976 -0.740790720
 398857715 -0.248359936 -0.735638976
 400841683 -0.258130784 -0.730483264
 402825651 -0.265666240 -0.723451072
 404809619 -0.274056256 -0.718194112
 406793587 -0.282840352 -0.711135872
 408777555 -0.291222976 -0.704332736
 410761523 -0.298952960 -0.698183616
 412745491 -0.306982016 -0.692025856
 414729459 -0.314899840 -0.685033088
 416713427 -0.322017984 -0.678182848
 418697395 -0.329707680 -0.670554944
 420681363 -0.336408416 -0.664128512
 422665331 -0.344479584 -0.656286976
 424649299 -0.351351104 -0.649564288
 426633267 -0.357864608 -0.642797312
 428617234 -0.365455648 -0.635437056
 430601202 -0.371966144 -0.627931072
 432585170 -0.379507872 -0.619617920
 434569138 -0.386081056 -0.611796608
 436553106 -0.392426656 -0.604638336
 438537074 -0.398783552 -0.596816896
 440521042 -0.405445920 -0.587893568
 442505010 -0.411454048 -0.580044416
 444488978 -0.417787776 -0.571887488
 446472946 -0.422388704 -0.563252608
 448456914 -0.429607840 -0.554990400
 450440882 -0.434702656 -0.547004352
 452424850 -0.440211040 -0.538118016
 454408818 -0.445883872 -0.529515104
 456392786 -0.450870272 -0.521663360
 458376754 -0.456299776 -0.512141824
 460360721 -0.461460544 -0.503286592
 462344689 -0.466639712 -0.494070432
 464328657 -0.471442752 -0.485022656
 466312625 -0.475708768 -0.476415936
 468296593 -0.480939808 -0.466184416
 470280561 -0.485434272 -0.457165376
 472264529 -0.489166752 -0.447878784
 474248497 -0.493478528 -0.438214304
 476232465 -0.497777472 -0.428629920
 478216433 -0.501631744 -0.418700352
 480200401 -0.505157536 -0.409386880
 482184369 -0.508508032 -0.399033600
 484168337 -0.512419392 -0.388992544
 486152305 -0.515460736 -0.379255936
 488136273 -0.518260192 -0.368310368
 490120240 -0.520926432 -0.358168352
 492104208 -0.523332544 -0.348172512
 494088176 -0.525893376 -0.337906080
 496072144 -0.528382592 -0.327514816
 498056112 -0.530154176 -0.317385696
 500040080 -0.532195872 -0.306651392
 502024048 -0.533594560 -0.296301408
 504008016 -0.535177184 -0.286266752
 505991984 -0.536538944 -0.275438688
 507975952 -0.537392832 -0.265543376
 509959920 -0.538629696 -0.254500000
 511943888 -0.539385088 -0.244110016
 513927856 -0.539483456 -0.233502864
 515911824 -0.540276352 -0.222610080
 517895792 -0.539978368 -0.211920320
 519879760 -0.539406912 -0.201738272
 521863727 -0.538609920 -0.191083696
 523847695 -0.537548224 -0.180806432
 525831663 -0.535884096 -0.170816704
 527815631 -0.535440992 -0.161239936
 529799599 -0.534349248 -0.151582592
 531783567 -0.533233472 -0.142184624
 533767535 -0.531821952 -0.132132144
 535751503 -0.530212160 -0.121996944
 537735471 -0.528356384 -0.113692736
 539719439 -0.526961216 -0.103960624
 541703407 -0.525927552 -0.094728328
 543687375 -0.524129856 -0.085188576
 545671343 -0.522370208 -0.074822152
 547655311 -0.520712256 -0.066514464
 549639279 -0.518446560 -0.056343268
 551623246 -0.515933408 -0.046979768
 553607214 -0.513876512 -0.037354064
 555591182 -0.511647776 -0.028184102
 557575150 -0.508522816 -0.017820708
 559559118 -0.505687840 -0.008024538
 561543086 -0.502354432  0.001222436
 563527054 -0.499767616  0.010673914
 565511022 -0.496113536  0.020609758
 567494990 -0.492248128  0.030804512
 569478958 -0.487925088  0.040038036
 571462926 -0.482982592  0.050148320
 573446894 -0.478052096  0.057956660
 575430862 -0.472778016  0.066531280
 577414830 -0.468293632  0.074137568
 579398798 -0.463860288  0.082279000
 581382766 -0.459526688  0.089449384
 583366733 -0.455653248  0.096841640
 585350701 -0.451764896  0.105464568
 587334669 -0.447964960  0.113802256
 589318637 -0.443833184  0.122488704
 591302605 -0.439446848  0.130327728
 593286573 -0.435536576  0.139308528
 595270541 -0.431240384  0.147871264
 597254509 -0.426582336  0.157347584
 599238477 -0.421455488  0.167194256
 601222445 -0.415860096  0.176651136
 603206413 -0.409728192  0.186325728
 605190381 -0.402790144  0.196055776
 607174349 -0.395472160  0.205565776
 609158317 -0.388040928  0.214152640
 611142285 -0.379543904  0.223123664
 613126253 -0.371852992  0.225177088
 615110220 -0.362816992  0.233812128
 617094188 -0.354427744  0.240868032
 619078156 -0.345574464  0.247802800
 621062124 -0.336658848  0.254224064
 623046092 -0.327349376  0.260875072
 625030060 -0.318132160  0.267179456
